teamA,teamB,date,league,teamA_win
DRX,Gen.G,2025-04-26,LCK,0
DN Freecs,BNK FEARX,2025-04-26,LCK,0
T1,Dplus KIA,2025-04-25,LCK,1
KT Rolster,Nongshim RedForce,2025-04-25,LCK,0
Hanwha Life Esports,OKSavingsBank BRION,2025-04-24,LCK,1
Gen.G,DN Freecs,2025-04-24,LCK,1
Nongshim RedForce,BNK FEARX,2025-04-23,LCK,1
DRX,KT Rolster,2025-04-23,LCK,0
KT Rolster,DN Freecs,2025-04-20,LCK,1
Dplus KIA,DRX,2025-04-20,LCK,1
Nongshim RedForce,Hanwha Life Esports,2025-04-19,LCK,0
Gen.G,OKSavingsBank BRION,2025-04-19,LCK,1
DN Freecs,Dplus KIA,2025-04-18,LCK,0
BNK FEARX,T1,2025-04-18,LCK,1
OKSavingsBank BRION,KT Rolster,2025-04-17,LCK,1
DRX,Hanwha Life Esports,2025-04-17,LCK,0
BNK FEARX,Gen.G,2025-04-16,LCK,0
T1,Nongshim RedForce,2025-04-16,LCK,1
Nongshim RedForce,DRX,2025-04-13,LCK,1
Dplus KIA,Gen.G,2025-04-13,LCK,0
KT Rolster,BNK FEARX,2025-04-12,LCK,1
Hanwha Life Esports,T1,2025-04-12,LCK,1
Gen.G,Nongshim RedForce,2025-04-11,LCK,1
OKSavingsBank BRION,DN Freecs,2025-04-11,LCK,1
T1,KT Rolster,2025-04-10,LCK,1
BNK FEARX,DRX,2025-04-10,LCK,1
Dplus KIA,OKSavingsBank BRION,2025-04-09,LCK,1
DN Freecs,Hanwha Life Esports,2025-04-09,LCK,0
T1,Gen.G,2025-04-06,LCK,0
KT Rolster,Dplus KIA,2025-04-06,LCK,0
DN Freecs,Nongshim RedForce,2025-04-05,LCK,0
OKSavingsBank BRION,BNK FEARX,2025-04-05,LCK,0
DRX,T1,2025-04-04,LCK,0
Hanwha Life Esports,KT Rolster,2025-04-04,LCK,1
BNK FEARX,Dplus KIA,2025-04-03,LCK,0
Nongshim RedForce,OKSavingsBank BRION,2025-04-03,LCK,1
DRX,DN Freecs,2025-04-02,LCK,1
Hanwha Life Esports,Gen.G,2025-04-02,LCK,0
Hanwha Life Esports,T1,2025-06-15,LCK,0
T1,KT Rolster,2025-06-14,LCK,1
Gen.G,Hanwha Life Esports,2025-06-13,LCK,1
Nongshim RedForce,KT Rolster,2025-06-08,LCK,0
KT Rolster,Dplus KIA,2025-06-07,LCK,1
DRX,OKSavingsBank BRION,2025-08-31,LCK,0
Nongshim RedForce,KT Rolster,2025-08-31,LCK,0
DN Freecs,Dplus KIA,2025-08-30,LCK,0
T1,Gen.G,2025-08-30,LCK,0
Hanwha Life Esports,Nongshim RedForce,2025-08-29,LCK,1
BNK FEARX,DRX,2025-08-29,LCK,1
Gen.G,KT Rolster,2025-08-28,LCK,1
Dplus KIA,OKSavingsBank BRION,2025-08-28,LCK,1
DN Freecs,BNK FEARX,2025-08-27,LCK,0
T1,Hanwha Life Esports,2025-08-27,LCK,1
KT Rolster,T1,2025-08-24,LCK,1
BNK FEARX,Dplus KIA,2025-08-24,LCK,0
OKSavingsBank BRION,DN Freecs,2025-08-23,LCK,0
Hanwha Life Esports,Gen.G,2025-08-23,LCK,0
Dplus KIA,DRX,2025-08-22,LCK,1
Nongshim RedForce,T1,2025-08-22,LCK,0
OKSavingsBank BRION,BNK FEARX,2025-08-21,LCK,0
KT Rolster,Hanwha Life Esports,2025-08-21,LCK,0
Gen.G,Nongshim RedForce,2025-08-20,LCK,1
DRX,DN Freecs,2025-08-20,LCK,1
OKSavingsBank BRION,Dplus KIA,2025-08-17,LCK,1
Hanwha Life Esports,Gen.G,2025-08-17,LCK,0
DRX,BNK FEARX,2025-08-16,LCK,1
Nongshim RedForce,KT Rolster,2025-08-16,LCK,0
Hanwha Life Esports,T1,2025-08-15,LCK,0
OKSavingsBank BRION,DN Freecs,2025-08-15,LCK,0
Dplus KIA,DRX,2025-08-14,LCK,1
Gen.G,Nongshim RedForce,2025-08-14,LCK,1
BNK FEARX,DN Freecs,2025-08-13,LCK,1
T1,KT Rolster,2025-08-13,LCK,1
DN Freecs,Dplus KIA,2025-08-10,LCK,0
KT Rolster,Gen.G,2025-08-10,LCK,0
Nongshim RedForce,T1,2025-08-09,LCK,0
DRX,OKSavingsBank BRION,2025-08-09,LCK,0
KT Rolster,Hanwha Life Esports,2025-08-08,LCK,0
BNK FEARX,Dplus KIA,2025-08-08,LCK,1
Gen.G,T1,2025-08-07,LCK,1
DRX,DN Freecs,2025-08-07,LCK,0
OKSavingsBank BRION,BNK FEARX,2025-08-06,LCK,0
Hanwha Life Esports,Nongshim RedForce,2025-08-06,LCK,1
Nongshim RedForce,Gen.G,2025-08-03,LCK,0
DN Freecs,OKSavingsBank BRION,2025-08-03,LCK,0
BNK FEARX,DRX,2025-08-02,LCK,0
T1,Hanwha Life Esports,2025-08-02,LCK,1
Dplus KIA,DN Freecs,2025-08-01,LCK,1
Gen.G,KT Rolster,2025-08-01,LCK,1
Nongshim RedForce,Hanwha Life Esports,2025-07-31,LCK,0
BNK FEARX,OKSavingsBank BRION,2025-07-31,LCK,1
KT Rolster,T1,2025-07-30,LCK,0
DRX,Dplus KIA,2025-07-30,LCK,0
T1,Nongshim RedForce,2025-07-27,LCK,1
DN Freecs,DRX,2025-07-27,LCK,0
Hanwha Life Esports,KT Rolster,2025-07-26,LCK,1
Dplus KIA,BNK FEARX,2025-07-26,LCK,1
OKSavingsBank BRION,DRX,2025-07-25,LCK,1
T1,Gen.G,2025-07-25,LCK,1
KT Rolster,Nongshim RedForce,2025-07-24,LCK,1
DN Freecs,BNK FEARX,2025-07-24,LCK,0
Gen.G,Hanwha Life Esports,2025-07-23,LCK,1
Dplus KIA,OKSavingsBank BRION,2025-07-23,LCK,0
Nongshim RedForce,Dplus KIA,2025-09-07,LCK,0
Dplus KIA,OKSavingsBank BRION,2025-09-06,LCK,1
Nongshim RedForce,BNK FEARX,2025-09-05,LCK,0
Dplus KIA,BNK FEARX,2025-09-04,LCK,0
OKSavingsBank BRION,Nongshim RedForce,2025-09-03,LCK,0
KT Rolster,Gen.G,2025-09-27,LCK,0
Gen.G,T1,2025-09-21,LCK,1
Hanwha Life Esports,KT Rolster,2025-09-20,LCK,1
T1,Dplus KIA,2025-09-18,LCK,1
BNK FEARX,Dplus KIA,2025-09-17,LCK,0
Hanwha Life Esports,T1,2025-09-14,LCK,1
Gen.G,KT Rolster,2025-09-13,LCK,0
KT Rolster,BNK FEARX,2025-09-11,LCK,1
T1,Dplus KIA,2025-09-10,LCK,1
Team Liquid,FlyQuest,2025-02-09,LTA N,0
Dignitas,FlyQuest,2025-02-09,LTA N,0
Team Liquid,Shopify Rebellion,2025-02-09,LTA N,1
100 Thieves,Cloud9,2025-02-02,LTA N,1
FlyQuest,Cloud9,2025-02-02,LTA N,0
Team Liquid,100 Thieves,2025-02-02,LTA N,0
LYON,Shopify Rebellion,2025-02-01,LTA N,0
Disguised,Dignitas,2025-02-01,LTA N,0
Dignitas,Team Liquid,2025-01-26,LTA N,0
Disguised,100 Thieves,2025-01-26,LTA N,0
LYON,Cloud9,2025-01-25,LTA N,0
Shopify Rebellion,FlyQuest,2025-01-25,LTA N,0
100 Thieves,Disguised,2025-05-18,LTA N,1
Team Liquid,Shopify Rebellion,2025-05-18,LTA N,1
LYON,Dignitas,2025-05-17,LTA N,0
Cloud9,FlyQuest,2025-05-17,LTA N,0
Disguised,LYON,2025-05-11,LTA N,0
FlyQuest,Dignitas,2025-05-11,LTA N,1
Shopify Rebellion,100 Thieves,2025-05-10,LTA N,1
Cloud9,Team Liquid,2025-05-10,LTA N,1
100 Thieves,Dignitas,2025-05-04,LTA N,1
LYON,Cloud9,2025-05-04,LTA N,0
Team Liquid,Disguised,2025-05-03,LTA N,1
FlyQuest,Shopify Rebellion,2025-05-03,LTA N,1
Dignitas,Shopify Rebellion,2025-04-27,LTA N,1
Cloud9,Disguised,2025-04-27,LTA N,1
Team Liquid,LYON,2025-04-26,LTA N,1
100 Thieves,FlyQuest,2025-04-26,LTA N,0
100 Thieves,Shopify Rebellion,2025-04-21,LTA N,1
Disguised,Team Liquid,2025-04-21,LTA N,1
LYON,Cloud9,2025-04-21,LTA N,0
FlyQuest,Dignitas,2025-04-21,LTA N,1
Dignitas,Disguised,2025-04-20,LTA N,1
Team Liquid,Shopify Rebellion,2025-04-20,LTA N,1
Cloud9,FlyQuest,2025-04-20,LTA N,1
LYON,100 Thieves,2025-04-20,LTA N,0
Disguised,Shopify Rebellion,2025-04-19,LTA N,0
Dignitas,100 Thieves,2025-04-19,LTA N,0
Cloud9,Team Liquid,2025-04-19,LTA N,1
FlyQuest,LYON,2025-04-19,LTA N,1
Cloud9,Dignitas,2025-04-13,LTA N,1
Team Liquid,LYON,2025-04-13,LTA N,1
Shopify Rebellion,FlyQuest,2025-04-13,LTA N,0
100 Thieves,Disguised,2025-04-13,LTA N,1
LYON,Shopify Rebellion,2025-04-12,LTA N,1
Dignitas,Team Liquid,2025-04-12,LTA N,0
100 Thieves,FlyQuest,2025-04-12,LTA N,0
Cloud9,Disguised,2025-04-12,LTA N,1
LYON,Dignitas,2025-04-06,LTA N,1
Disguised,FlyQuest,2025-04-06,LTA N,0
Team Liquid,100 Thieves,2025-04-06,LTA N,1
Shopify Rebellion,Cloud9,2025-04-06,LTA N,0
Disguised,LYON,2025-04-05,LTA N,0
Cloud9,100 Thieves,2025-04-05,LTA N,0
Shopify Rebellion,Dignitas,2025-04-05,LTA N,1
Team Liquid,FlyQuest,2025-04-05,LTA N,0
FlyQuest,Cloud9,2025-06-15,LTA N,1
Cloud9,Shopify Rebellion,2025-06-14,LTA N,1
Team Liquid,Shopify Rebellion,2025-06-08,LTA N,0
FlyQuest,Cloud9,2025-06-07,LTA N,1
100 Thieves,Shopify Rebellion,2025-06-01,LTA N,0
Team Liquid,Dignitas,2025-05-31,LTA N,1
Cloud9,Team Liquid,2025-05-25,LTA N,1
FlyQuest,Shopify Rebellion,2025-05-24,LTA N,1
Shopify Rebellion,100 Thieves,2025-09-06,LTA N,0
Cloud9,100 Thieves,2025-09-05,LTA N,0
FlyQuest,Shopify Rebellion,2025-08-31,LTA N,1
Team Liquid,100 Thieves,2025-08-30,LTA N,0
Cloud9,Disguised,2025-08-29,LTA N,1
LYON,100 Thieves,2025-08-24,LTA N,0
Disguised,Dignitas,2025-08-23,LTA N,1
FlyQuest,Team Liquid,2025-08-17,LTA N,1
Cloud9,Shopify Rebellion,2025-08-16,LTA N,0
Dignitas,Disguised,2025-08-10,LTA N,0
Cloud9,Team Liquid,2025-08-10,LTA N,1
Shopify Rebellion,100 Thieves,2025-08-09,LTA N,1
FlyQuest,LYON,2025-08-09,LTA N,1
Disguised,Shopify Rebellion,2025-08-03,LTA N,0
Dignitas,Cloud9,2025-08-03,LTA N,0
LYON,Team Liquid,2025-08-02,LTA N,1
100 Thieves,FlyQuest,2025-08-02,LTA N,0
Shopify Rebellion,Dignitas,2025-07-27,LTA N,1
Team Liquid,100 Thieves,2025-07-27,LTA N,1
Cloud9,LYON,2025-07-26,LTA N,1
FlyQuest,Disguised,2025-07-26,LTA N,1
LOUD,paiN Gaming,2025-02-09,LTA S,1
paiN Gaming,FURIA,2025-02-09,LTA S,1
RED Canids,LOUD,2025-02-09,LTA S,0
Leviatan,Isurus,2025-02-02,LTA S,0
paiN Gaming,Leviatan,2025-02-02,LTA S,0
Isurus,RED Canids,2025-02-02,LTA S,1
Fluxo W7M,FURIA,2025-02-01,LTA S,0
LOUD,Vivo Keyd Stars,2025-02-01,LTA S,1
RED Canids,Fluxo W7M,2025-01-26,LTA S,1
Isurus,FURIA,2025-01-26,LTA S,1
Vivo Keyd Stars,Leviatan,2025-01-25,LTA S,0
LOUD,paiN Gaming,2025-01-25,LTA S,0
Leviatan,RED Canids,2025-05-18,LTA S,0
LOUD,Vivo Keyd Stars,2025-05-18,LTA S,0
Fluxo W7M,Isurus,2025-05-17,LTA S,0
paiN Gaming,FURIA,2025-05-17,LTA S,1
LOUD,RED Canids,2025-05-11,LTA S,1
FURIA,Fluxo W7M,2025-05-11,LTA S,0
Leviatan,Vivo Keyd Stars,2025-05-10,LTA S,0
Isurus,paiN Gaming,2025-05-10,LTA S,0
Leviatan,Isurus,2025-05-04,LTA S,0
paiN Gaming,Vivo Keyd Stars,2025-05-04,LTA S,1
FURIA,RED Canids,2025-05-03,LTA S,1
Fluxo W7M,LOUD,2025-05-03,LTA S,0
FURIA,LOUD,2025-04-27,LTA S,1
Fluxo W7M,RED Canids,2025-04-27,LTA S,0
Vivo Keyd Stars,Isurus,2025-04-26,LTA S,1
paiN Gaming,Leviatan,2025-04-26,LTA S,1
Isurus,Leviatan,2025-04-21,LTA S,0
LOUD,FURIA,2025-04-21,LTA S,1
paiN Gaming,Vivo Keyd Stars,2025-04-21,LTA S,1
RED Canids,Fluxo W7M,2025-04-21,LTA S,1
Vivo Keyd Stars,FURIA,2025-04-20,LTA S,0
Isurus,RED Canids,2025-04-20,LTA S,1
Fluxo W7M,LOUD,2025-04-20,LTA S,0
paiN Gaming,Leviatan,2025-04-20,LTA S,1
Isurus,LOUD,2025-04-19,LTA S,0
Leviatan,Vivo Keyd Stars,2025-04-19,LTA S,1
Fluxo W7M,paiN Gaming,2025-04-19,LTA S,0
RED Canids,FURIA,2025-04-19,LTA S,0
Fluxo W7M,FURIA,2025-04-13,LTA S,0
RED Canids,paiN Gaming,2025-04-13,LTA S,0
Vivo Keyd Stars,Isurus,2025-04-13,LTA S,1
Leviatan,LOUD,2025-04-13,LTA S,0
FURIA,paiN Gaming,2025-04-12,LTA S,1
Leviatan,RED Canids,2025-04-12,LTA S,0
Isurus,Fluxo W7M,2025-04-12,LTA S,0
LOUD,Vivo Keyd Stars,2025-04-12,LTA S,0
LOUD,paiN Gaming,2025-04-06,LTA S,0
Leviatan,Fluxo W7M,2025-04-06,LTA S,1
Vivo Keyd Stars,RED Canids,2025-04-06,LTA S,1
FURIA,Isurus,2025-04-06,LTA S,1
LOUD,RED Canids,2025-04-05,LTA S,0
Vivo Keyd Stars,Fluxo W7M,2025-04-05,LTA S,1
FURIA,Leviatan,2025-04-05,LTA S,0
Isurus,paiN Gaming,2025-04-05,LTA S,0
paiN Gaming,FURIA,2025-06-15,LTA S,0
Isurus,FURIA,2025-06-14,LTA S,0
paiN Gaming,FURIA,2025-06-08,LTA S,1
Isurus,Vivo Keyd Stars,2025-06-07,LTA S,1
Vivo Keyd Stars,RED Canids,2025-06-01,LTA S,1
LOUD,Isurus,2025-05-31,LTA S,0
Vivo Keyd Stars,FURIA,2025-05-25,LTA S,0
paiN Gaming,LOUD,2025-05-24,LTA S,1
paiN Gaming,RED Canids,2025-09-06,LTA S,0
RED Canids,LOUD,2025-09-05,LTA S,1
paiN Gaming,Vivo Keyd Stars,2025-08-31,LTA S,0
FURIA,LOUD,2025-08-30,LTA S,0
RED Canids,Leviatan,2025-08-29,LTA S,1
Isurus,Leviatan,2025-08-24,LTA S,0
LOUD,Fluxo W7M,2025-08-23,LTA S,1
paiN Gaming,RED Canids,2025-08-17,LTA S,1
Vivo Keyd Stars,FURIA,2025-08-16,LTA S,1
paiN Gaming,RED Canids,2025-08-10,LTA S,0
Fluxo W7M,Leviatan,2025-08-10,LTA S,0
LOUD,Isurus,2025-08-09,LTA S,1
Vivo Keyd Stars,FURIA,2025-08-09,LTA S,0
LOUD,RED Canids,2025-08-03,LTA S,0
Leviatan,Vivo Keyd Stars,2025-08-03,LTA S,0
Fluxo W7M,Isurus,2025-08-02,LTA S,0
paiN Gaming,FURIA,2025-08-02,LTA S,1
LOUD,Vivo Keyd Stars,2025-07-27,LTA S,0
Isurus,RED Canids,2025-07-27,LTA S,0
paiN Gaming,Leviatan,2025-07-26,LTA S,1
FURIA,Fluxo W7M,2025-07-26,LTA S,1
PSG Talon,MGN Vikings Esports,2025-02-16,LCP,1
CTBC Flying Oyster,Chiefs Esports Club,2025-02-16,LCP,1
Team Secret Whales,GAM Esports,2025-02-15,LCP,1
DetonatioN FocusMe,Fukuoka SoftBank HAWKS gaming,2025-02-15,LCP,0
CTBC Flying Oyster,PSG Talon,2025-02-14,LCP,1
Chiefs Esports Club,MGN Vikings Esports,2025-02-14,LCP,0
GAM Esports,DetonatioN FocusMe,2025-02-13,LCP,1
Fukuoka SoftBank HAWKS gaming,Team Secret Whales,2025-02-13,LCP,0
PSG Talon,GAM Esports,2025-02-09,LCP,1
Chiefs Esports Club,Fukuoka SoftBank HAWKS gaming,2025-02-09,LCP,0
MGN Vikings Esports,DetonatioN FocusMe,2025-02-08,LCP,1
CTBC Flying Oyster,Team Secret Whales,2025-02-08,LCP,0
Chiefs Esports Club,GAM Esports,2025-02-07,LCP,0
Fukuoka SoftBank HAWKS gaming,PSG Talon,2025-02-07,LCP,0
MGN Vikings Esports,Team Secret Whales,2025-02-06,LCP,1
CTBC Flying Oyster,DetonatioN FocusMe,2025-02-06,LCP,1
PSG Talon,DetonatioN FocusMe,2025-01-26,LCP,1
Chiefs Esports Club,Team Secret Whales,2025-01-26,LCP,0
GAM Esports,CTBC Flying Oyster,2025-01-25,LCP,0
Fukuoka SoftBank HAWKS gaming,MGN Vikings Esports,2025-01-25,LCP,0
PSG Talon,Team Secret Whales,2025-01-24,LCP,1
Chiefs Esports Club,DetonatioN FocusMe,2025-01-24,LCP,0
Fukuoka SoftBank HAWKS gaming,CTBC Flying Oyster,2025-01-19,LCP,0
GAM Esports,MGN Vikings Esports,2025-01-19,LCP,0
PSG Talon,Chiefs Esports Club,2025-01-18,LCP,1
Team Secret Whales,DetonatioN FocusMe,2025-01-18,LCP,1
Fukuoka SoftBank HAWKS gaming,GAM Esports,2025-01-17,LCP,0
CTBC Flying Oyster,MGN Vikings Esports,2025-01-17,LCP,1
CTBC Flying Oyster,PSG Talon,2025-02-23,LCP,1
PSG Talon,MGN Vikings Esports,2025-02-22,LCP,1
CTBC Flying Oyster,MGN Vikings Esports,2025-02-21,LCP,1
GAM Esports,PSG Talon,2025-02-21,LCP,0
CTBC Flying Oyster,GAM Esports,2025-02-19,LCP,1
PSG Talon,MGN Vikings Esports,2025-02-19,LCP,0
Team Secret Whales,GAM Esports,2025-02-18,LCP,0
Fukuoka SoftBank HAWKS gaming,MGN Vikings Esports,2025-02-18,LCP,0
CTBC Flying Oyster,Team Secret Whales,2025-05-25,LCP,1
Fukuoka SoftBank HAWKS gaming,Chiefs Esports Club,2025-05-25,LCP,1
MGN Vikings Esports,PSG Talon,2025-05-24,LCP,0
GAM Esports,DetonatioN FocusMe,2025-05-24,LCP,1
CTBC Flying Oyster,Fukuoka SoftBank HAWKS gaming,2025-05-23,LCP,1
Chiefs Esports Club,Team Secret Whales,2025-05-23,LCP,0
GAM Esports,PSG Talon,2025-05-18,LCP,0
MGN Vikings Esports,DetonatioN FocusMe,2025-05-18,LCP,1
CTBC Flying Oyster,Chiefs Esports Club,2025-05-17,LCP,1
Team Secret Whales,Fukuoka SoftBank HAWKS gaming,2025-05-17,LCP,1
MGN Vikings Esports,GAM Esports,2025-05-16,LCP,1
PSG Talon,DetonatioN FocusMe,2025-05-16,LCP,1
CTBC Flying Oyster,DetonatioN FocusMe,2025-05-11,LCP,1
Team Secret Whales,MGN Vikings Esports,2025-05-11,LCP,1
Fukuoka SoftBank HAWKS gaming,PSG Talon,2025-05-10,LCP,0
GAM Esports,Chiefs Esports Club,2025-05-10,LCP,1
PSG Talon,Team Secret Whales,2025-05-04,LCP,0
MGN Vikings Esports,Chiefs Esports Club,2025-05-04,LCP,1
GAM Esports,CTBC Flying Oyster,2025-05-03,LCP,0
Fukuoka SoftBank HAWKS gaming,DetonatioN FocusMe,2025-05-03,LCP,1
CTBC Flying Oyster,MGN Vikings Esports,2025-04-27,LCP,1
Team Secret Whales,DetonatioN FocusMe,2025-04-27,LCP,1
GAM Esports,Fukuoka SoftBank HAWKS gaming,2025-04-26,LCP,1
Chiefs Esports Club,PSG Talon,2025-04-26,LCP,0
GAM Esports,Team Secret Whales,2025-04-20,LCP,1
DetonatioN FocusMe,Chiefs Esports Club,2025-04-20,LCP,1
PSG Talon,CTBC Flying Oyster,2025-04-19,LCP,0
Fukuoka SoftBank HAWKS gaming,MGN Vikings Esports,2025-04-19,LCP,0
CTBC Flying Oyster,GAM Esports,2025-06-08,LCP,1
PSG Talon,GAM Esports,2025-06-07,LCP,0
GAM Esports,Team Secret Whales,2025-06-06,LCP,1
CTBC Flying Oyster,PSG Talon,2025-06-01,LCP,1
Team Secret Whales,PSG Talon,2025-05-31,LCP,0
CTBC Flying Oyster,GAM Esports,2025-05-31,LCP,1
GAM Esports,MGN Vikings Esports,2025-05-30,LCP,1
PSG Talon,Fukuoka SoftBank HAWKS gaming,2025-05-30,LCP,1
GAM Esports,Team Secret Whales,2025-08-24,LCP,1
DetonatioN FocusMe,Fukuoka SoftBank HAWKS gaming,2025-08-24,LCP,1
Team Secret Whales,MGN Vikings Esports,2025-08-23,LCP,1
Fukuoka SoftBank HAWKS gaming,Chiefs Esports Club,2025-08-23,LCP,1
CTBC Flying Oyster,GAM Esports,2025-08-22,LCP,1
PSG Talon,DetonatioN FocusMe,2025-08-22,LCP,1
Fukuoka SoftBank HAWKS gaming,DetonatioN FocusMe,2025-08-17,LCP,0
PSG Talon,Chiefs Esports Club,2025-08-17,LCP,1
Team Secret Whales,GAM Esports,2025-08-16,LCP,0
CTBC Flying Oyster,MGN Vikings Esports,2025-08-16,LCP,1
PSG Talon,MGN Vikings Esports,2025-08-15,LCP,0
GAM Esports,Fukuoka SoftBank HAWKS gaming,2025-08-15,LCP,1
Team Secret Whales,CTBC Flying Oyster,2025-08-10,LCP,0
DetonatioN FocusMe,Fukuoka SoftBank HAWKS gaming,2025-08-10,LCP,0
PSG Talon,GAM Esports,2025-08-09,LCP,0
Chiefs Esports Club,MGN Vikings Esports,2025-08-09,LCP,0
Team Secret Whales,GAM Esports,2025-08-03,LCP,1
MGN Vikings Esports,Fukuoka SoftBank HAWKS gaming,2025-08-03,LCP,1
PSG Talon,CTBC Flying Oyster,2025-08-02,LCP,0
DetonatioN FocusMe,Chiefs Esports Club,2025-08-02,LCP,1
GAM Esports,CTBC Flying Oyster,2025-07-27,LCP,0
Fukuoka SoftBank HAWKS gaming,Chiefs Esports Club,2025-07-27,LCP,1
PSG Talon,Team Secret Whales,2025-07-26,LCP,0
MGN Vikings Esports,DetonatioN FocusMe,2025-07-26,LCP,1
PSG Talon,Team Secret Whales,2025-09-20,LCP,0
Team Secret Whales,GAM Esports,2025-09-14,LCP,1
CTBC Flying Oyster,PSG Talon,2025-09-13,LCP,1
MGN Vikings Esports,Team Secret Whales,2025-09-12,LCP,0
MGN Vikings Esports,DetonatioN FocusMe,2025-09-07,LCP,1
GAM Esports,PSG Talon,2025-09-06,LCP,0
CTBC Flying Oyster,Team Secret Whales,2025-09-06,LCP,1
MGN Vikings Esports,PSG Talon,2025-09-05,LCP,0
DetonatioN FocusMe,Team Secret Whales,2025-09-05,LCP,0
